city,lat,lng,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,extracted_at,temp_category,precip_category,wind_category,risk_score,risk_level
Casablanca,33.5992,-7.62,2026-09-18,24.5,18.7,0.0,0,13.0,35.3,3,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-19,26.8,19.4,0.0,0,11.9,32.8,45,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-20,29.7,20.5,0.0,0,10.5,31.0,2,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-21,29.2,21.2,0.0,0,10.2,32.0,45,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-22,28.7,20.8,0.0,0,10.0,28.4,45,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-23,29.3,19.6,0.0,0,12.1,31.7,45,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Casablanca,33.5992,-7.62,2026-09-24,29.3,19.7,0.0,0,11.6,31.0,45,2026-09-20 18:33:30.918640,temperature bien,faibles pluies,Calme,0.0,faible
Tangier,35.7767,-5.8039,2026-09-18,28.0,18.3,0.0,0,21.3,49.3,2,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Calme,15.0,faible
Tangier,35.7767,-5.8039,2026-09-19,27.5,22.6,0.0,0,32.2,75.6,2,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Vent modéré,37.5,modere
Tangier,35.7767,-5.8039,2026-09-20,28.5,23.9,0.0,0,31.3,74.9,1,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Vent modéré,37.5,modere
Tangier,35.7767,-5.8039,2026-09-21,28.3,22.8,0.0,0,28.5,68.0,2,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Calme,15.0,faible
Tangier,35.7767,-5.8039,2026-09-22,28.2,21.4,0.0,0,24.1,58.0,2,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Calme,15.0,faible
Tangier,35.7767,-5.8039,2026-09-23,28.2,21.9,0.0,0,24.3,46.4,1,2026-09-20 18:33:31.102547,temperature bien,faibles pluies,Calme,15.0,faible
Tangier,35.7767,-5.8039,2026-09-24,30.1,20.8,0.0,0,19.2,35.6,0,2026-09-20 18:33:31.102547,temperature moderee,faibles pluies,Calme,0.0,faible
Fès,34.0433,-5.0033,2026-09-18,31.7,17.4,0.0,0,10.0,27.4,3,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,0.0,faible
Fès,34.0433,-5.0033,2026-09-19,34.1,21.0,0.0,5,20.1,49.3,2,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,15.0,faible
Fès,34.0433,-5.0033,2026-09-20,35.1,22.3,0.0,0,13.6,36.7,1,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,7.5,faible
Fès,34.0433,-5.0033,2026-09-21,34.1,22.1,0.0,0,12.8,33.1,2,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,0.0,faible
Fès,34.0433,-5.0033,2026-09-22,33.5,20.9,0.0,0,9.8,26.6,2,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,0.0,faible
Fès,34.0433,-5.0033,2026-09-23,35.0,20.3,0.0,0,7.5,21.6,0,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,7.5,faible
Fès,34.0433,-5.0033,2026-09-24,35.8,21.5,0.0,0,11.5,29.2,0,2026-09-20 18:33:31.286449,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-18,32.0,17.9,0.0,0,7.4,22.3,2,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,0.0,faible
Marrakech,31.6295,-7.9811,2026-09-19,36.1,20.8,0.1,25,9.2,28.1,2,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-20,37.6,22.7,0.2,38,10.4,31.0,3,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-21,37.3,22.4,0.0,2,12.7,36.7,2,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-22,36.6,20.8,0.0,3,15.8,39.6,0,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-23,36.3,19.1,0.0,0,14.6,25.9,0,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Marrakech,31.6295,-7.9811,2026-09-24,35.7,20.7,0.0,3,12.8,23.4,2,2026-09-20 18:33:31.469858,temperature moderee,faibles pluies,Calme,7.5,faible
Sale,34.05,-6.8167,2026-09-18,25.5,16.3,0.0,0,14.0,36.4,45,2026-09-20 18:33:31.654228,temperature bien,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-19,30.5,17.3,0.0,0,14.1,36.4,1,2026-09-20 18:33:31.654228,temperature moderee,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-20,30.1,20.2,0.0,0,11.5,30.2,1,2026-09-20 18:33:31.654228,temperature moderee,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-21,30.6,20.4,0.0,0,12.8,32.8,1,2026-09-20 18:33:31.654228,temperature moderee,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-22,29.6,20.1,0.0,0,10.9,29.2,0,2026-09-20 18:33:31.654228,temperature bien,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-23,28.1,19.2,0.0,0,11.4,28.1,1,2026-09-20 18:33:31.654228,temperature bien,faibles pluies,Calme,0.0,faible
Sale,34.05,-6.8167,2026-09-24,28.2,18.8,0.0,0,11.8,29.2,45,2026-09-20 18:33:31.654228,temperature bien,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-18,30.0,15.7,0.0,0,13.8,37.1,2,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-19,34.1,19.2,0.0,5,12.7,34.9,2,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-20,35.2,21.4,0.0,0,12.9,33.5,1,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,7.5,faible
Meknès,33.8833,-5.55,2026-09-21,34.6,20.1,0.0,0,13.3,34.6,1,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-22,33.1,18.9,0.0,0,12.4,32.8,1,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-23,33.9,18.9,0.0,0,11.4,27.7,0,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Meknès,33.8833,-5.55,2026-09-24,34.4,19.2,0.0,0,14.8,34.2,3,2026-09-20 18:33:31.839286,temperature moderee,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-18,25.6,16.4,0.0,0,14.0,36.4,45,2026-09-20 18:33:32.025085,temperature bien,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-19,30.5,17.3,0.0,0,14.1,36.4,1,2026-09-20 18:33:32.025085,temperature moderee,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-20,30.1,20.3,0.0,0,11.5,30.2,1,2026-09-20 18:33:32.025085,temperature moderee,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-21,30.6,20.5,0.0,0,12.8,32.8,1,2026-09-20 18:33:32.025085,temperature moderee,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-22,29.7,20.2,0.0,0,10.9,29.2,0,2026-09-20 18:33:32.025085,temperature bien,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-23,28.2,19.2,0.0,0,11.4,28.1,1,2026-09-20 18:33:32.025085,temperature bien,faibles pluies,Calme,0.0,faible
Rabat,34.0211,-6.8414,2026-09-24,28.3,18.9,0.0,0,11.8,29.2,45,2026-09-20 18:33:32.025085,temperature bien,faibles pluies,Calme,0.0,faible
Agadir,30.4214,-9.5831,2026-09-18,26.3,19.4,0.0,0,11.1,32.0,2,2026-09-20 18:33:32.221606,temperature bien,faibles pluies,Calme,0.0,faible
Agadir,30.4214,-9.5831,2026-09-19,26.2,20.3,0.0,0,13.3,38.2,2,2026-09-20 18:33:32.221606,temperature bien,faibles pluies,Calme,0.0,faible
Agadir,30.4214,-9.5831,2026-09-20,27.9,20.8,0.0,0,11.6,35.3,45,2026-09-20 18:33:32.221606,temperature bien,faibles pluies,Calme,0.0,faible
