city,latitude,longtitude,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,extracted_at
Casablanca,33.5992,-7.62,2026-09-21,31.0,20.5,0.0,0,10.9,31.7,2,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-22,29.1,20.0,0.0,0,9.2,27.4,45,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-23,27.4,19.3,0.0,0,10.7,31.0,45,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-24,28.3,18.9,0.0,0,10.1,29.9,1,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-25,28.0,18.7,0.0,0,12.3,35.6,45,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-26,28.3,19.6,0.0,0,13.7,35.3,45,2026-09-21 00:13:07.410071
Casablanca,33.5992,-7.62,2026-09-27,26.7,19.7,0.0,4,11.0,28.4,45,2026-09-21 00:13:07.410071
Tangier,35.7767,-5.8039,2026-09-21,28.4,23.0,0.0,0,27.4,63.4,2,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-22,29.2,21.2,0.0,0,23.2,53.3,3,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-23,29.9,20.8,0.0,0,19.6,44.6,2,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-24,28.9,21.2,0.0,0,23.4,54.0,1,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-25,30.7,20.8,0.0,0,13.2,29.5,2,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-26,26.8,22.0,0.0,0,31.8,59.4,3,2026-09-21 00:13:07.610247
Tangier,35.7767,-5.8039,2026-09-27,25.6,21.3,0.0,0,21.7,41.0,3,2026-09-21 00:13:07.610247
Fès,34.0433,-5.0033,2026-09-21,35.4,21.6,0.0,0,10.9,28.8,1,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-22,34.0,20.2,0.0,0,9.2,25.2,1,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-23,34.8,19.7,0.0,0,10.5,27.7,1,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-24,35.5,20.3,0.0,0,13.1,36.0,0,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-25,36.0,20.4,0.0,0,16.6,41.4,3,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-26,35.3,21.4,0.0,0,12.2,30.6,3,2026-09-21 00:13:07.835088
Fès,34.0433,-5.0033,2026-09-27,29.6,19.2,0.0,5,6.0,25.2,3,2026-09-21 00:13:07.835088
Marrakech,31.6295,-7.9811,2026-09-21,38.1,23.7,0.0,3,16.8,43.2,3,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-22,37.1,19.5,0.0,0,10.8,30.6,0,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-23,36.8,18.4,0.0,0,8.2,26.6,0,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-24,36.9,18.5,0.0,0,9.2,26.6,2,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-25,36.8,19.1,0.0,0,10.2,31.3,3,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-26,33.8,21.9,0.0,0,12.8,27.0,3,2026-09-21 00:13:08.027714
Marrakech,31.6295,-7.9811,2026-09-27,33.2,20.7,0.0,3,12.2,22.3,3,2026-09-21 00:13:08.027714
Sale,34.05,-6.8167,2026-09-21,31.7,19.9,0.0,0,11.2,30.2,45,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-22,30.8,19.8,0.0,0,9.2,24.8,45,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-23,28.5,18.4,0.0,0,12.5,32.8,45,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-24,30.2,16.7,0.0,0,12.6,33.1,0,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-25,29.3,17.1,0.0,0,13.6,34.9,3,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-26,27.9,19.1,0.0,0,12.1,27.7,45,2026-09-21 00:13:08.318024
Sale,34.05,-6.8167,2026-09-27,25.3,20.0,0.0,3,11.8,27.0,45,2026-09-21 00:13:08.318024
Meknès,33.8833,-5.55,2026-09-21,35.3,20.5,0.0,0,15.5,39.2,2,2026-09-21 00:13:08.522357
